tip	date	distance	residual
C5433	2020.3497267759562	2.646812574182843E-4	2.348240481085716E-5
C5552	2020.3524590163934	2.6451125741828427E-4	2.1483705457134045E-5
C6707	2020.3661202185792	2.9458125741828426E-4	4.24102086887406E-5
C5418	2020.3497267759562	2.2661125741828421E-4	-1.4587595189142913E-5
C8013	2020.3688524590164	3.691912574182843E-4	1.1519150933501752E-4
C19080	2020.4562841530055	4.8757125741828456E-4	1.7505313001698898E-4
C54	2020.2295081967213	1.9117125741828424E-4	3.0435176373119007E-5
C422	2020.2704918032787	1.9217125741828424E-4	4.00468606771666E-6
C724	2020.2868852459017	1.9217125741828424E-4	-6.967510054399869E-6
C1751	2020.3060109289618	1.5673125741828427E-4	-5.5208405530239466E-5
C30804	2020.51912568306	2.6536125741828426E-4	-8.921695511775434E-5
C1218	2020.3005464480875	1.6073125741828426E-4	-4.7551006822793286E-5
C2777	2020.311475409836	1.5973125741828426E-4	-5.586580423746362E-5
C2582	2020.3142076502731	2.2680125741828422E-4	9.37549640881325E-6
C1646	2020.3032786885246	1.6073125741828426E-4	-4.937970617651638E-5
C2738	2020.3169398907103	1.6073125741828426E-4	-5.8523202944909815E-5
C3208	2020.3224043715848	1.5973125741828426E-4	-6.3180601652356E-5
C5767	2020.3524590163934	2.983712574182843E-4	5.534370545713408E-5
C3948	2020.3387978142077	2.983712574182843E-4	6.448720222552751E-5
C32519	2020.532786885246	3.3100125741828426E-4	-3.272045188636982E-5
C27664	2020.5	3.624612574182843E-4	2.068394035808531E-5
C37999	2020.5710382513662	4.403212574182845E-4	5.099775716217324E-5
C38000	2020.5710382513662	4.403212574182845E-4	5.099775716217324E-5
C32615	2020.532786885246	5.808412574182845E-4	2.1711954811363043E-4
C21582	2020.464480874317	4.273112574182845E-4	1.0930703195604166E-4
C27523	2020.5	4.597512574182845E-4	1.1797394035808551E-4
C24113	2020.4781420765028	4.029612574182845E-4	7.581353518742621E-5
C5119	2020.3469945355191	1.9217125741828424E-4	-4.719889583541979E-5
C6377	2020.3688524590164	1.9317125741828424E-4	-6.0828490664982515E-5
C6384	2020.3661202185792	1.9317125741828424E-4	-5.899979131125942E-5
C13284	2020.4153005464482	2.613012574182843E-4	-2.3786379677830983E-5
C713	2020.2841530054645	1.9017125741828424E-4	-7.138810700676768E-6
C2041	2020.3060109289618	1.9117125741828424E-4	-2.076840553023949E-5
C926	2020.292349726776	1.9117125741828424E-4	-1.1624908761624013E-5
C5011	2020.3469945355191	2.2361125741828422E-4	-1.575889583541981E-5
C7081	2020.363387978142	1.9217125741828424E-4	-5.817109195753632E-5
C21527	2020.464480874317	2.2905125741828423E-4	-8.89529680439586E-5
C25853	2020.4890710382513	2.9677125741828426E-4	-3.769126222724438E-5
C1172	2020.2978142076502	3.086112574182843E-4	1.0215769253092986E-4
C27725	2020.5	4.130912574182845E-4	7.13139403580855E-5
C6507	2020.360655737705	1.9178125741828425E-4	-5.673239260403526E-5
C8574	2020.3743169398906	1.9248125741828424E-4	-6.517588937220666E-5
C5328	2020.3497267759562	1.8717125741828425E-4	-5.4027595189142874E-5
C3980	2020.3387978142077	1.8817125741828425E-4	-4.571279777447254E-5
C20407	2020.464480874317	2.2273125741828424E-4	-9.527296804395858E-5
C4420	2020.3469945355191	2.2591125741828425E-4	-1.345889583541978E-5
C5885	2020.3551912568305	1.5774125741828426E-4	-8.711499389658906E-5
C23121	2020.4754098360656	3.7640125741828423E-4	5.108223454114902E-5
C23733	2020.4781420765028	2.6537125741828426E-4	-6.177646481257405E-5
C4290	2020.3415300546449	2.571512574182843E-4	2.14385028718044E-5
C6564	2020.360655737705	2.571512574182843E-4	8.637607395964775E-6
C4497	2020.3497267759562	2.5615125741828426E-4	1.4952404810857133E-5
C5695	2020.3524590163934	2.5615125741828426E-4	1.3123705457134037E-5
C4895	2020.344262295082	2.5615125741828426E-4	1.860980351808128E-5
C4710	2020.344262295082	2.551512574182843E-4	1.760980351808131E-5
C5384	2020.3497267759562	2.551512574182843E-4	1.3952404810857163E-5
C6711	2020.360655737705	2.2071125741828423E-4	-2.7802392604035276E-5
C31141	2020.5218579234972	2.990712574182843E-4	-5.7335654471477385E-5
C25622	2020.4863387978141	2.620412574182843E-4	-7.059256287352125E-5
C26	2020.2185792349726	1.8817125741828425E-4	3.474997378778935E-5
C253	2020.2540983606557	1.8817125741828425E-4	1.09768821898332E-5
C599	2020.275956284153	2.6158125741828427E-4	6.975728736049254E-5
C3457	2020.327868852459	2.5537125741828423E-4	2.8801999640419823E-5
C815	2020.2868852459017	2.2370125741828426E-4	2.456248994560015E-5
C1983	2020.3060109289618	2.2470125741828425E-4	1.2761594469760522E-5
C2755	2020.3169398907103	2.2470125741828425E-4	5.4467970550901846E-6
C32958	2020.5409836065573	2.932112574182843E-4	-7.599654994731701E-5
C544	2020.2732240437158	1.5273125741828425E-4	-3.7264013286006424E-5
C293	2020.2568306010928	1.9044874258171575E-4	1.1425667999763651E-5
C571	2020.2732240437158	1.9044874258171575E-4	4.534718774250779E-7
C314	2020.2568306010928	2.2188874258171574E-4	4.2865667999763635E-5
C6524	2020.360655737705	2.239387425817157E-4	-2.4574907440603805E-5
C7580	2020.3661202185792	2.490787425817157E-4	-3.092306147827958E-6
C7579	2020.3661202185792	2.490787425817157E-4	-3.092306147827958E-6
C6868	2020.363387978142	3.4937874258171575E-4	9.903639320589519E-5
C17912	2020.448087431694	2.726087425817157E-4	-3.442328675841059E-5
C6876	2020.363387978142	2.6491874258171574E-4	1.4576393205895175E-5
C29517	2020.5109289617487	2.9663874258171574E-4	-5.2453371893375626E-5
C7603	2020.3661202185792	3.282787425817157E-4	7.610769385217207E-5
C14075	2020.4207650273224	3.282787425817157E-4	3.953370677837629E-5
C7866	2020.3688524590164	2.7277874258171573E-4	1.877899449844898E-5
C7605	2020.3661202185792	2.3595874258171572E-4	-1.621230614782794E-5
C25958	2020.4863387978141	4.428987425817158E-4	1.1026492228991024E-4
C6470	2020.360655737705	1.5700874258171572E-4	-9.150490744060379E-5
C6882	2020.363387978142	2.2600874258171572E-4	-2.4333606794104843E-5
C6519	2020.360655737705	2.2600874258171572E-4	-2.2504907440603792E-5
C7850	2020.3688524590164	1.1314874258171573E-4	-1.4085100550155103E-4
Wuhan/Hu-1/2019	2019.9835616438356	1.484125741828427E-5	1.8718179016262635E-5
C310	2020.2568306010928	4.2160125741828435E-4	2.4257818283633225E-4
C316	2020.2568306010928	4.904412574182844E-4	3.114181828363323E-4
C657	2020.2814207650274	3.889112574182843E-4	1.934298886530464E-4
C639	2020.2814207650274	1.8324125741828426E-4	-1.2240111346953662E-5
C570	2020.2732240437158	1.6743125741828426E-4	-2.256401328600642E-5
C659	2020.2814207650274	8.310125741828427E-5	-1.1238011134695365E-4
C1102	2020.295081967213	2.1585125741828426E-4	1.1226391884652906E-5
C6914	2020.363387978142	2.1733125741828425E-4	-3.301109195753631E-5
C2449	2020.311475409836	2.1592125741828425E-4	3.2419576253636825E-7
C1202	2020.2978142076502	2.5330125741828427E-4	4.6847692530929826E-5
C3129	2020.3224043715848	1.8317125741828426E-4	-3.9740601652356E-5
C1739	2020.3060109289618	1.8317125741828426E-4	-2.8768405530239468E-5
C4616	2020.3415300546449	1.8917125741828425E-4	-4.654149712819564E-5
C4717	2020.344262295082	1.8917125741828425E-4	-4.8370196481918734E-5
C4621	2020.3415300546449	1.9017125741828424E-4	-4.554149712819564E-5
C5301	2020.3497267759562	1.9017125741828424E-4	-5.102759518914288E-5
C5178	2020.3469945355191	1.8917125741828425E-4	-5.0198895835419784E-5
C5902	2020.3551912568305	1.8717125741828425E-4	-5.7684993896589066E-5
C2800	2020.3196721311476	2.2561125741828424E-4	4.528097701367079E-6
C2801	2020.3169398907103	2.2561125741828424E-4	6.356797055090174E-6
C5288	2020.3497267759562	2.6024125741828426E-4	1.904240481085713E-5
C7379	2020.363387978142	2.9508125741828427E-4	4.473890804246371E-5
C7380	2020.363387978142	2.2561125741828424E-4	-2.4731091957536316E-5
C1351	2020.3005464480875	1.9117125741828424E-4	-1.71110068227933E-5
C5790	2020.3524590163934	2.2868125741828423E-4	-1.4346294542865996E-5
C4084	2020.3387978142077	1.9317125741828424E-4	-4.0712797774472554E-5
C5813	2020.3524590163934	1.9317125741828424E-4	-4.985629454286599E-5
C5008	2020.3469945355191	1.9317125741828424E-4	-4.6198895835419796E-5
C16957	2020.4398907103825	2.999912574182843E-4	-1.5546738608947838E-6
C5701	2020.3524590163934	1.9017125741828424E-4	-5.285629454286598E-5
C6193	2020.3551912568305	1.5773125741828426E-4	-8.712499389658905E-5
C4691	2020.3415300546449	1.5573125741828424E-4	-7.998149712819564E-5
C6561	2020.3661202185792	1.8817125741828425E-4	-6.39997913112594E-5
C8240	2020.3661202185792	2.2227125741828424E-4	-2.9899791311259417E-5
C2685	2020.3142076502731	2.1961125741828423E-4	2.1854964088132594E-6
C6465	2020.360655737705	2.2371125741828425E-4	-2.4802392604035258E-5
C32968	2020.5409836065573	3.3428125741828425E-4	-3.492654994731708E-5
C25538	2020.4863387978141	2.595312574182843E-4	-7.310256287352125E-5
C452	2020.2677595628415	1.5373125741828425E-4	-3.2606614578560236E-5
C4964	2020.3415300546449	1.5573125741828424E-4	-7.998149712819564E-5
C5029	2020.3469945355191	1.5573125741828424E-4	-8.363889583541979E-5
C6380	2020.3688524590164	1.5473125741828425E-4	-9.92684906649825E-5
C4447	2020.3415300546449	2.2849125741828424E-4	-7.221497128195642E-6
C7417	2020.3661202185792	2.681312574182843E-4	1.5960208688740635E-5
C7383	2020.363387978142	2.3200125741828424E-4	-1.834109195753632E-5
C6298	2020.3579234972678	1.9063125741828425E-4	-5.6053693250312164E-5
C6860	2020.3661202185792	1.9030125741828423E-4	-6.186979131125942E-5
C8579	2020.3743169398906	1.9030125741828423E-4	-6.735588937220667E-5
C358	2020.25956284153	2.5707125741828427E-4	7.621948348260907E-5
C569	2020.2732240437158	2.9268125741828426E-4	1.0268598671399359E-4
C14722	2020.4262295081967	5.407512574182845E-4	2.483488229074989E-4
C203	2020.2486338797814	2.5907125741828427E-4	8.55342808972794E-5
C353	2020.25956284153	2.982112574182843E-4	1.1735948348260908E-4
C377	2020.2622950819673	2.982112574182843E-4	1.1553078412866394E-4
C677	2020.2841530054645	3.3607125741828424E-4	1.3876118929932323E-4
C7297	2020.363387978142	4.6698125741828444E-4	2.1663890804246387E-4
C14230	2020.4234972677596	6.104112574182845E-4	3.19837522261222E-4
C7299	2020.363387978142	4.6598125741828447E-4	2.156389080424639E-4
C416	2020.2650273224044	2.949512574182843E-4	1.104420847751629E-4
C1298	2020.3005464480875	2.580712574182843E-4	4.9788993177206755E-5
C6878	2020.363387978142	2.580712574182843E-4	7.728908042463735E-6
C4706	2020.344262295082	2.9351125741828427E-4	5.596980351808129E-5
C6875	2020.363387978142	3.3068125741828427E-4	8.03389080424637E-5
C22289	2020.4726775956285	4.0019125741828443E-4	7.670093389487232E-5
C6958	2020.363387978142	3.276212574182843E-4	7.727890804246372E-5
C7855	2020.3688524590164	2.9351125741828427E-4	3.9511509335017517E-5
C25662	2020.4863387978141	4.347612574182844E-4	1.0212743712647887E-4
C17517	2020.448087431694	2.9351125741828427E-4	-1.3520771921842032E-5
C18021	2020.4535519125684	3.636312574182843E-4	5.294182937071179E-5
C7547	2020.3661202185792	3.686712574182843E-4	1.1650020868874062E-4
C7384	2020.363387978142	4.049412574182844E-4	1.5459890804246385E-4
C20447	2020.464480874317	5.015012574182845E-4	1.8349703195604168E-4
C688	2020.2841530054645	2.580712574182843E-4	6.076118929932328E-5
C6255	2020.3579234972678	4.5992125741828446E-4	2.1323630674968804E-4
C26221	2020.4918032786886	4.2923125741828447E-4	9.294003841903273E-5
C27764	2020.4972677595629	3.5940125741828425E-4	1.945263971158632E-5
C37981	2020.568306010929	3.928412574182843E-4	5.3464565156740446E-6
C24022	2020.4754098360656	3.968412574182844E-4	7.152223454114917E-5
C26630	2020.4918032786886	5.356512574182845E-4	1.993600384190328E-4
C32299	2020.5300546448088	4.727712574182844E-4	1.1087824746735343E-4
C27763	2020.4972677595629	3.9584125741828435E-4	5.5892639711586424E-5
C24052	2020.4781420765028	4.3024125741828443E-4	1.0309353518742613E-4
C30062	2020.5109289617487	3.9584125741828435E-4	4.674914294319299E-5
C34392	2020.5382513661202	3.9584125741828435E-4	2.8462149406406124E-5
