strain,Ct_score,run_id
C3143,30.7,run7
C7296,30.71,run18
C3140,30.75,run7
C5029,30.75,run11
C688,30.86,run4
C7295,30.86,run18
C58,30.87,run1
C58,30.87,run13
C1722,30.91,run9
C8311,30.94,run19
C819,30.95,run5
C21481,30.97,run20
C7954,31.1,run19
C5176,31.15,run14
C2562,31.17,run6
C7313,31.19,run18
C1401,31.33,run6
C5913,31.36,run12
C2878,31.4,run7
C27611,31.45,run22
C4420,31.46,run10
C7579,31.48,run18
C5433,31.52,run12
C422,31.55,run3
C639,31.63,run4
C589,31.78,run4
C7853,31.79,run19
C4730,31.86,run11
C309,31.92,run3
C309,31.92,run13
C5293,32.04,run11
C1218,32.17,run6
C1351,32.21,run9
C5008,32.21,run14
C5290,32.63,run11
C358,32.66,run3
C3732,32.71,run10
C6164,32.72,run12
C452,32.74,run3
C599,32.85,run4
C460,32.93,run15
C6934,32.95,run18
C203,32.97,run3
C203,32.97,run13
C6709,33.03,run15
C5018,33.05,run15
C544,33.07,run15
C6370,33.08,run13
C6711,33.08,run15
C5456,33.09,run12
C4691,33.22,run14
C1377,33.3,run6
C389,33.38,run3
C389,33.38,run14
C6964,33.39,run18
C26,33.5,run1
C26,33.5,run13
C2041,33.53,run6
C1274,33.55,run6
C2579,33.58,run7
C6878,33.58,run18
C4864,33.72,run11
C110,33.78,run1
C110,33.78,run5
C451,33.8,run3
C2884,33.82,run7
C6162,33.84,run12
C7850,33.93,run19
C3948,33.94,run14
C6740,34.02,run18
C4084,34.17,run14
C6519,34.17,run18
C721,34.21,run4
C569,34.3,run3
C569,34.3,run14
C7604,34.32,run18
C1625,34.33,run9
C803,34.41,run4
C223,34.43,run3
C223,34.43,run13
C659,34.45,run4
C4964,34.46,run11
C5015,34.46,run14
C5019,34.47,run11
C1422,34.49,run9
C416,34.62,run3
C416,34.62,run14
C5011,34.7,run14
C942,34.89,run9
C680,34.9,run4
C657,34.91,run4
C2883,34.92,run9
C6495,34.92,run15
C4822,34.93,run11
C6953,34.94,run18
C1357,34.98,run9
C7081,35,run18
C422,35.02,run15
C452,35.02,run15
C353,35.07,run3
C353,35.07,run14
C247,35.66,run3
C247,35.66,run14
C813,35.72,run4
C358,35.74,run15
C1099,35.84,run9
C1202,35.95,run9
C6193,36,run13
C572,36.4,run4
C3208,36.44,run7
C22,36.48,run1
C22,36.48,run13
C502,36.79,run3
C502,36.79,run14
C451,36.89,run15
C570,36.97,run4
C1434,36.97,run9
C3205,37.18,run7
C1739,37.25,run9
C377,38.44,run3
C377,38.44,run14
C1092,39.33,run9
C800,39.42,run4
C1191,39.77,run9
C1102,,run9
C1292,,run9
C1298,,run9
C6377,,run13
C5911,,run14
C6379,,run14
C6380,,run14
C6465,,run15
C6507,,run15
C6704,,run15
C7187,,run16
C7268,,run16
C7276,,run16
C7314,,run16
C7379,,run16
C7409,,run16
C7417,,run16
C7580,,run16
C6470,,run18
C6770,,run18
C7322,,run18
C7380,,run18
C7382,,run18
C7383,,run18
C7384,,run18
C8574,,run19
C3216,,run7
C3980,,run10
C4290,,run10
